,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
215,POLSTER,ownDeveloped,Domestic,dropship,0.303,0.012,0.324,0.033
216,POLSTER,whiteLabel,Import,mto,0.378,0.012,0.396,0.048
217,POLSTER,whiteLabel,Import,wh,0.385,0.012,0.376,0.04
218,POLSTER,whiteLabel,Import,dropship,0.374,0.012,0.388,0.033
219,POLSTER,whiteLabel,EE,mto,0.312,0.012,0.329,0.048
220,POLSTER,whiteLabel,EE,wh,0.319,0.012,0.309,0.04
221,POLSTER,whiteLabel,EE,dropship,0.308,0.012,0.321,0.033
222,POLSTER,whiteLabel,Domestic,mto,0.284,0.012,0.308,0.048
223,POLSTER,whiteLabel,Domestic,wh,0.291,0.012,0.288,0.04
224,POLSTER,whiteLabel,Domestic,dropship,0.28,0.012,0.299,0.033
225,BÜRO,exclusive,Import,mto,0.443,0.012,0.433,0.043
226,BÜRO,exclusive,Import,wh,0.45,0.012,0.447,0.032
227,BÜRO,exclusive,Import,dropship,0.439,0.012,0.454,0.029
228,BÜRO,exclusive,EE,mto,0.377,0.012,0.366,0.043
229,BÜRO,exclusive,EE,wh,0.384,0.012,0.38,0.032
230,BÜRO,exclusive,EE,dropship,0.373,0.012,0.387,0.029
231,BÜRO,exclusive,Domestic,mto,0.349,0.012,0.345,0.043
232,BÜRO,exclusive,Domestic,wh,0.356,0.012,0.358,0.032
233,BÜRO,exclusive,Domestic,dropship,0.345,0.012,0.366,0.029
234,BÜRO,other,Import,mto,0.428,0.012,0.417,0.043
235,BÜRO,other,Import,wh,0.435,0.012,0.43,0.033
236,BÜRO,other,Import,dropship,0.424,0.012,0.438,0.029
237,BÜRO,other,EE,mto,0.362,0.012,0.35,0.043
238,BÜRO,other,EE,wh,0.369,0.012,0.363,0.033
239,BÜRO,other,EE,dropship,0.358,0.012,0.371,0.029
240,BÜRO,other,Domestic,mto,0.334,0.012,0.328,0.043
241,BÜRO,other,Domestic,wh,0.341,0.012,0.342,0.033
242,BÜRO,other,Domestic,dropship,0.33,0.012,0.349,0.029
