,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
212,POLSTER,ownDeveloped,EE,dropship,0.33,0.012
213,POLSTER,ownDeveloped,Domestic,mto,0.307,0.012
214,POLSTER,ownDeveloped,Domestic,wh,0.314,0.012
215,POLSTER,ownDeveloped,Domestic,dropship,0.303,0.012
216,POLSTER,whiteLabel,Import,mto,0.378,0.012
217,POLSTER,whiteLabel,Import,wh,0.385,0.012
218,POLSTER,whiteLabel,Import,dropship,0.374,0.012
219,POLSTER,whiteLabel,EE,mto,0.312,0.012
220,POLSTER,whiteLabel,EE,wh,0.319,0.012
221,POLSTER,whiteLabel,EE,dropship,0.308,0.012
222,POLSTER,whiteLabel,Domestic,mto,0.284,0.012
223,POLSTER,whiteLabel,Domestic,wh,0.291,0.012
224,POLSTER,whiteLabel,Domestic,dropship,0.28,0.012
225,BÜRO,exclusive,Import,mto,0.443,0.012
226,BÜRO,exclusive,Import,wh,0.45,0.012
227,BÜRO,exclusive,Import,dropship,0.439,0.012
228,BÜRO,exclusive,EE,mto,0.377,0.012
229,BÜRO,exclusive,EE,wh,0.384,0.012
230,BÜRO,exclusive,EE,dropship,0.373,0.012
231,BÜRO,exclusive,Domestic,mto,0.349,0.012
232,BÜRO,exclusive,Domestic,wh,0.356,0.012
233,BÜRO,exclusive,Domestic,dropship,0.345,0.012
234,BÜRO,other,Import,mto,0.428,0.012
235,BÜRO,other,Import,wh,0.435,0.012
236,BÜRO,other,Import,dropship,0.424,0.012
237,BÜRO,other,EE,mto,0.362,0.012
238,BÜRO,other,EE,wh,0.369,0.012
239,BÜRO,other,EE,dropship,0.358,0.012
240,BÜRO,other,Domestic,mto,0.334,0.012
241,BÜRO,other,Domestic,wh,0.341,0.012
242,BÜRO,other,Domestic,dropship,0.33,0.012
243,BÜRO,thirdParty,Import,mto,0.416,0.012
244,BÜRO,thirdParty,Import,wh,0.422,0.012
245,BÜRO,thirdParty,Import,dropship,0.411,0.012
246,BÜRO,thirdParty,EE,mto,0.35,0.012
247,BÜRO,thirdParty,EE,wh,0.356,0.012
248,BÜRO,thirdParty,EE,dropship,0.345,0.012
249,BÜRO,thirdParty,Domestic,mto,0.322,0.012
250,BÜRO,thirdParty,Domestic,wh,0.329,0.012
251,BÜRO,thirdParty,Domestic,dropship,0.317,0.012
252,BÜRO,ownDeveloped,Import,mto,0.444,0.012
253,BÜRO,ownDeveloped,Import,wh,0.451,0.012
254,BÜRO,ownDeveloped,Import,dropship,0.439,0.012
255,BÜRO,ownDeveloped,EE,mto,0.378,0.012
256,BÜRO,ownDeveloped,EE,wh,0.385,0.012
257,BÜRO,ownDeveloped,EE,dropship,0.373,0.012
258,BÜRO,ownDeveloped,Domestic,mto,0.35,0.012
259,BÜRO,ownDeveloped,Domestic,wh,0.357,0.012
260,BÜRO,ownDeveloped,Domestic,dropship,0.346,0.012
261,BÜRO,whiteLabel,Import,mto,0.421,0.012
262,BÜRO,whiteLabel,Import,wh,0.428,0.012
263,BÜRO,whiteLabel,Import,dropship,0.417,0.012
264,BÜRO,whiteLabel,EE,mto,0.355,0.012
265,BÜRO,whiteLabel,EE,wh,0.362,0.012
266,BÜRO,whiteLabel,EE,dropship,0.351,0.012
267,BÜRO,whiteLabel,Domestic,mto,0.327,0.012
268,BÜRO,whiteLabel,Domestic,wh,0.334,0.012
269,BÜRO,whiteLabel,Domestic,dropship,0.323,0.012
270,KINDER,exclusive,Import,mto,0.321,0.013
271,KINDER,exclusive,Import,wh,0.328,0.013
272,KINDER,exclusive,Import,dropship,0.317,0.013
273,KINDER,exclusive,EE,mto,0.255,0.013
274,KINDER,exclusive,EE,wh,0.262,0.013
275,KINDER,exclusive,EE,dropship,0.251,0.013
276,KINDER,exclusive,Domestic,mto,0.227,0.013
277,KINDER,exclusive,Domestic,wh,0.234,0.013
278,KINDER,exclusive,Domestic,dropship,0.223,0.013
279,KINDER,other,Import,mto,0.306,0.013
280,KINDER,other,Import,wh,0.313,0.013
281,KINDER,other,Import,dropship,0.302,0.013
282,KINDER,other,EE,mto,0.24,0.013
283,KINDER,other,EE,wh,0.247,0.013
284,KINDER,other,EE,dropship,0.236,0.013
285,KINDER,other,Domestic,mto,0.212,0.013
286,KINDER,other,Domestic,wh,0.219,0.013
287,KINDER,other,Domestic,dropship,0.208,0.013
288,KINDER,thirdParty,Import,mto,0.294,0.013
289,KINDER,thirdParty,Import,wh,0.3,0.013
290,KINDER,thirdParty,Import,dropship,0.289,0.013
291,KINDER,thirdParty,EE,mto,0.228,0.013
292,KINDER,thirdParty,EE,wh,0.235,0.013
293,KINDER,thirdParty,EE,dropship,0.223,0.013
294,KINDER,thirdParty,Domestic,mto,0.2,0.013
295,KINDER,thirdParty,Domestic,wh,0.207,0.013
296,KINDER,thirdParty,Domestic,dropship,0.195,0.013
297,KINDER,ownDeveloped,Import,mto,0.322,0.013
298,KINDER,ownDeveloped,Import,wh,0.329,0.013
