,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
249,SCHLAFZIMMERMÖBEL,other,EE,1,0.258,0.013
250,SCHLAFZIMMERMÖBEL,other,Domestic,0,0.254,0.013
251,SCHLAFZIMMERMÖBEL,other,Domestic,1,0.219,0.013
252,SCHLAFZIMMERMÖBEL,thirdParty,Import,0,0.424,0.015
253,SCHLAFZIMMERMÖBEL,thirdParty,Import,1,0.388,0.014
254,SCHLAFZIMMERMÖBEL,thirdParty,EE,0,0.282,0.013
255,SCHLAFZIMMERMÖBEL,thirdParty,EE,1,0.247,0.013
256,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,0,0.243,0.013
257,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,1,0.208,0.012
258,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,0,0.496,0.015
259,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,1,0.461,0.015
260,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,0,0.354,0.014
261,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,1,0.319,0.013
262,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,0,0.316,0.013
263,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,1,0.28,0.013
264,SCHLAFZIMMERMÖBEL,whiteLabel,Import,0,0.436,0.015
265,SCHLAFZIMMERMÖBEL,whiteLabel,Import,1,0.4,0.014
266,SCHLAFZIMMERMÖBEL,whiteLabel,EE,0,0.294,0.013
267,SCHLAFZIMMERMÖBEL,whiteLabel,EE,1,0.259,0.013
268,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,0,0.255,0.013
269,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,1,0.22,0.012
270,WOHNEN,exclusive,Import,0,0.583,0.014
271,WOHNEN,exclusive,Import,1,0.548,0.014
272,WOHNEN,exclusive,EE,0,0.442,0.013
273,WOHNEN,exclusive,EE,1,0.406,0.012
274,WOHNEN,exclusive,Domestic,0,0.403,0.012
275,WOHNEN,exclusive,Domestic,1,0.368,0.012
276,WOHNEN,other,Import,0,0.514,0.015
277,WOHNEN,other,Import,1,0.478,0.015
278,WOHNEN,other,EE,0,0.372,0.013
279,WOHNEN,other,EE,1,0.337,0.013
280,WOHNEN,other,Domestic,0,0.333,0.013
281,WOHNEN,other,Domestic,1,0.298,0.013
282,WOHNEN,thirdParty,Import,0,0.503,0.015
283,WOHNEN,thirdParty,Import,1,0.468,0.014
284,WOHNEN,thirdParty,EE,0,0.361,0.013
285,WOHNEN,thirdParty,EE,1,0.326,0.013
286,WOHNEN,thirdParty,Domestic,0,0.323,0.013
287,WOHNEN,thirdParty,Domestic,1,0.287,0.012
288,WOHNEN,ownDeveloped,Import,0,0.575,0.015
289,WOHNEN,ownDeveloped,Import,1,0.54,0.015
290,WOHNEN,ownDeveloped,EE,0,0.434,0.014
291,WOHNEN,ownDeveloped,EE,1,0.398,0.013
292,WOHNEN,ownDeveloped,Domestic,0,0.395,0.013
293,WOHNEN,ownDeveloped,Domestic,1,0.359,0.013
294,WOHNEN,whiteLabel,Import,0,0.515,0.015
295,WOHNEN,whiteLabel,Import,1,0.479,0.014
296,WOHNEN,whiteLabel,EE,0,0.373,0.013
297,WOHNEN,whiteLabel,EE,1,0.338,0.013
298,WOHNEN,whiteLabel,Domestic,0,0.334,0.013
299,WOHNEN,whiteLabel,Domestic,1,0.299,0.012
300,GARTEN,exclusive,Import,0,0.421,0.015
301,GARTEN,exclusive,Import,1,0.385,0.014
302,GARTEN,exclusive,EE,0,0.279,0.013
303,GARTEN,exclusive,EE,1,0.244,0.013
304,GARTEN,exclusive,Domestic,0,0.24,0.013
305,GARTEN,exclusive,Domestic,1,0.205,0.012
306,GARTEN,other,Import,0,0.351,0.015
307,GARTEN,other,Import,1,0.316,0.015
308,GARTEN,other,EE,0,0.209,0.014
309,GARTEN,other,EE,1,0.174,0.014
310,GARTEN,other,Domestic,0,0.171,0.014
311,GARTEN,other,Domestic,1,0.135,0.013
312,GARTEN,thirdParty,Import,0,0.34,0.015
313,GARTEN,thirdParty,Import,1,0.305,0.015
314,GARTEN,thirdParty,EE,0,0.199,0.014
315,GARTEN,thirdParty,EE,1,0.163,0.014
316,GARTEN,thirdParty,Domestic,0,0.16,0.013
317,GARTEN,thirdParty,Domestic,1,0.125,0.013
318,GARTEN,ownDeveloped,Import,0,0.412,0.016
319,GARTEN,ownDeveloped,Import,1,0.377,0.015
320,GARTEN,ownDeveloped,EE,0,0.271,0.014
321,GARTEN,ownDeveloped,EE,1,0.236,0.014
322,GARTEN,ownDeveloped,Domestic,0,0.232,0.014
323,GARTEN,ownDeveloped,Domestic,1,0.197,0.014
324,GARTEN,whiteLabel,Import,0,0.352,0.015
325,GARTEN,whiteLabel,Import,1,0.317,0.015
326,GARTEN,whiteLabel,EE,0,0.211,0.014
327,GARTEN,whiteLabel,EE,1,0.175,0.014
328,GARTEN,whiteLabel,Domestic,0,0.172,0.013
329,GARTEN,whiteLabel,Domestic,1,0.137,0.013
330,KÜCHE,exclusive,Import,0,0.574,0.019
331,KÜCHE,exclusive,Import,1,0.538,0.019
332,KÜCHE,exclusive,EE,0,0.432,0.018
333,KÜCHE,exclusive,EE,1,0.397,0.018
334,KÜCHE,exclusive,Domestic,0,0.393,0.018
335,KÜCHE,exclusive,Domestic,1,0.358,0.017
336,KÜCHE,other,Import,0,0.504,0.02
337,KÜCHE,other,Import,1,0.469,0.019
338,KÜCHE,other,EE,0,0.362,0.019
339,KÜCHE,other,EE,1,0.327,0.018
340,KÜCHE,other,Domestic,0,0.324,0.018
341,KÜCHE,other,Domestic,1,0.288,0.018
342,KÜCHE,thirdParty,Import,0,0.493,0.02
343,KÜCHE,thirdParty,Import,1,0.458,0.019
344,KÜCHE,thirdParty,EE,0,0.352,0.019
345,KÜCHE,thirdParty,EE,1,0.316,0.018
346,KÜCHE,thirdParty,Domestic,0,0.313,0.018
347,KÜCHE,thirdParty,Domestic,1,0.278,0.018
348,KÜCHE,ownDeveloped,Import,0,0.565,0.02
349,KÜCHE,ownDeveloped,Import,1,0.53,0.02
350,KÜCHE,ownDeveloped,EE,0,0.424,0.019
351,KÜCHE,ownDeveloped,EE,1,0.389,0.019
352,KÜCHE,ownDeveloped,Domestic,0,0.385,0.019
353,KÜCHE,ownDeveloped,Domestic,1,0.35,0.018
354,KÜCHE,whiteLabel,Import,0,0.505,0.02
355,KÜCHE,whiteLabel,Import,1,0.47,0.019
356,KÜCHE,whiteLabel,EE,0,0.364,0.019
357,KÜCHE,whiteLabel,EE,1,0.328,0.018
358,KÜCHE,whiteLabel,Domestic,0,0.325,0.018
