,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
269,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,1,0.22,0.012,0.281,0.026
270,WOHNEN,exclusive,Import,0,0.583,0.014,0.454,0.021
271,WOHNEN,exclusive,Import,1,0.548,0.014,0.462,0.025
272,WOHNEN,exclusive,EE,0,0.442,0.013,0.387,0.021
273,WOHNEN,exclusive,EE,1,0.406,0.012,0.395,0.025
274,WOHNEN,exclusive,Domestic,0,0.403,0.012,0.365,0.021
275,WOHNEN,exclusive,Domestic,1,0.368,0.012,0.373,0.025
276,WOHNEN,other,Import,0,0.514,0.015,0.439,0.021
277,WOHNEN,other,Import,1,0.478,0.015,0.447,0.025
278,WOHNEN,other,EE,0,0.372,0.013,0.372,0.021
279,WOHNEN,other,EE,1,0.337,0.013,0.38,0.025
280,WOHNEN,other,Domestic,0,0.333,0.013,0.35,0.021
281,WOHNEN,other,Domestic,1,0.298,0.013,0.358,0.025
282,WOHNEN,thirdParty,Import,0,0.503,0.015,0.424,0.021
283,WOHNEN,thirdParty,Import,1,0.468,0.014,0.432,0.025
284,WOHNEN,thirdParty,EE,0,0.361,0.013,0.357,0.021
285,WOHNEN,thirdParty,EE,1,0.326,0.013,0.365,0.025
286,WOHNEN,thirdParty,Domestic,0,0.323,0.013,0.335,0.021
287,WOHNEN,thirdParty,Domestic,1,0.287,0.012,0.343,0.025
288,WOHNEN,ownDeveloped,Import,0,0.575,0.015,0.455,0.021
289,WOHNEN,ownDeveloped,Import,1,0.54,0.015,0.463,0.025
290,WOHNEN,ownDeveloped,EE,0,0.434,0.014,0.388,0.021
291,WOHNEN,ownDeveloped,EE,1,0.398,0.013,0.396,0.025
292,WOHNEN,ownDeveloped,Domestic,0,0.395,0.013,0.366,0.021
293,WOHNEN,ownDeveloped,Domestic,1,0.359,0.013,0.374,0.025
294,WOHNEN,whiteLabel,Import,0,0.515,0.015,0.43,0.021
295,WOHNEN,whiteLabel,Import,1,0.479,0.014,0.438,0.025
296,WOHNEN,whiteLabel,EE,0,0.373,0.013,0.363,0.021
