,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,PE,PE_err,has_enough_stat,pc2,item_skey
341,000000001000065873,0.0010331356298759798,769.99,2021-02-25,87.69444444444444,-0.0209,0.004,True,544.419,159724038661318
342,000000001000092353,0.005080635258358663,799.99,2020-10-11,147.34453781512605,-0.0075,0.0021,True,438.600,139947091850913
343,000000001000092578,0.006383713572820204,99.99,2021-01-14,187.90178571428572,-0.0528,0.0131,True,56.680,138912347055899
344,000000001000110022,0.008550427830254649,169.99,2021-02-22,476.71783625730995,-0.015,0.002,True,56.009,170043872779977
345,000000001000110080,0.004952547669673637,119.99,2021-02-02,30.62033779028853,-0.0238,0.0036,True,51.219,175102939199867
346,000000001000110735,0.002879526194588371,649.99,2020-11-26,62.035714285714285,-0.0047,0.0021,False,333.199,278722681937337
347,000000001000116642,0.008118361226568433,379.99,2021-02-19,51.14642857142857,0.0112,0.0093,False,158.020,65936712978107
348,000000001000117175,0.04310444827586207,76.99,2021-02-22,49.714285714285715,-0.1015,0.0303,True,45.630,206469256249904
349,000000001000117280,0.010361547036883547,159.99,2021-02-25,74.24615384615385,-0.0131,0.0036,True,67.370,175131193104788
350,000000001000119356,0.002697610253209598,549.99,2021-02-25,43.40670667170667,-0.0114,0.0055,False,309.360,201960461930012
351,000000001000123126,0.0005615381165919282,1549.99,2021-02-25,43.42279411764706,-0.0067,0.0062,False,921.120,66698833276339
352,000000001000128007,0.041564275434243174,67.99,2021-02-18,52.0,-0.0323,0.0076,True,39.549,122475302905408
353,000000001000129691,0.007230207313544885,214.99,2021-01-10,158.3466117216117,-0.015,0.0028,True,140.680,48950551112240
354,000000001000133164,0.008201547888207029,439.99,2021-01-15,93.90476190476191,-0.0167,0.0044,True,229.520,29771676227908
355,000000001000150187,0.004324452045594463,259.99,2021-02-25,66.21428571428571,-0.0143,0.0046,True,169.910,222761029785348
356,000000001000152431,1e-06,109.99,2021-02-13,108.875,-0.0003,0.0055,False,71.730,106797727191308
357,000000001000168548,0.0037016318216033088,849.99,2021-02-25,209.0901098901099,-0.003,0.0033,False,308.850,256794254390188
358,000000001000183866,0.004993486287278627,249.99,2021-02-14,116.05063669311392,-0.0115,0.0042,False,96.480,36857727115981
359,000000001000188647,0.0064819532587144235,449.99,2021-02-25,111.42529550827423,-0.0097,0.0022,True,245.740,207201706752720
360,000000001000211599,0.0015293406034638517,419.99,2020-12-18,78.97027417027417,-0.0143,0.0043,True,237.400,33931009056709
361,000000001000005839,0.004419453818786748,319.99,2021-02-05,170.65773809523807,-0.0046,0.0024,False,142.319,74307890965866
362,000000001000008769,0.003346794182691768,519.99,2021-02-25,153.4672619047619,-0.0042,0.0015,False,208.650,112000929120886
363,000000001000015656,0.0032253466455481393,229.99,2020-07-09,169.98076923076923,-0.0111,0.004,False,115.550,24839411313689
364,000000001000024944,0.022472253280954972,94.99,2021-02-25,22.12142857142857,-0.0229,0.0153,False,50.509,259722833592589
365,000000001000031300,0.003308939904632612,499.99,2021-02-17,40.86191540014302,-0.007,0.0029,False,286.740,163710678983219
366,000000001000037730,0.005693778870448224,929.99,2020-11-28,103.43333333333334,-0.0117,0.0028,True,541.809,99929938066990
367,000000001000052644,0.006607580187852685,264.99,2021-01-26,47.402040816326526,-0.0068,0.0024,False,167.289,281154736079217
