,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000005769,-0.0432,0.0097,-0.0033,0.0011,17,True
000000001000012766,-0.046,0.0084,0.0012,0.0008,17,True
000000001000110328,-0.0391,0.0037,0.0009,0.0006,19,True
000000001000117282,-0.0309,0.0046,-0.0006,0.0004,20,True
000000001000152724,-0.0332,0.0077,-0.0007,0.0008,16,True
000000001000024473,-0.0594,0.0108,-0.0047,0.0037,7,True
000000001000178099,-0.0369,0.0062,-0.0005,0.0004,17,True
000000001000012678,-0.0326,0.0103,0.0002,0.0005,9,True
000000001000024945,-0.1117,0.0186,-0.0125,0.0041,9,True
000000001000164539,-0.0427,0.0061,-0.0027,0.0007,20,True
000000001000184398,-0.0654,0.0111,0.0033,0.0016,11,True
000000001000009278,-0.0303,0.0095,-0.0012,0.0005,10,True
000000001000022573,-0.0845,0.011,-0.0181,0.0042,15,True
000000001000012728,-0.0325,0.0108,0.001,0.0018,13,True
000000001000110348,-0.0325,0.007,0.0008,0.0011,14,True
000000001000015549,-0.0299,0.0054,-0.0039,0.0015,18,True
000000001000110287,-0.0346,0.0077,-0.0,0.0007,12,True
000000001000007777,-0.0511,0.007,0.0001,0.0005,9,True
000000001000012689,-0.0578,0.0131,0.0001,0.0006,7,True
000000001000091298,-0.0539,0.0096,-0.0065,0.0021,13,True
000000001000118291,-0.0304,0.0048,-0.0004,0.0006,15,True
000000001000110106,-0.0387,0.0052,-0.0002,0.0032,15,True
000000001000130645,-0.0478,0.0099,-0.0009,0.0059,10,True
000000001000189803,-0.0317,0.0053,-0.0002,0.0007,8,True
000000001000098190,-0.0509,0.0079,-0.0052,0.0035,12,True
000000001000176434,-0.0372,0.008,-0.0031,0.0024,5,True
000000001000007430,-0.0417,0.0053,-0.0007,0.0007,20,True
000000001000123440,-0.0583,0.0124,-0.003,0.0012,13,True
000000001000096497,-0.0661,0.0144,-0.0076,0.0017,9,True
000000001000099701,-0.0549,0.0087,-0.0051,0.0018,16,True
000000001000007215,-0.0344,0.0071,-0.0004,0.0009,19,True
000000001000015662,-0.0298,0.0044,-0.0026,0.0009,15,True
000000001000053545,-0.0502,0.0113,-0.0009,0.0019,14,True
000000001000123838,-0.0334,0.0054,-0.0023,0.001,16,True
000000001000037844,-0.0995,0.0214,-0.0042,0.0036,8,True
000000001000055532,-0.038,0.0053,0.0027,0.0026,15,True
000000001000091287,-0.0591,0.0092,-0.0046,0.0019,10,True
000000001000110005,-0.0434,0.0118,0.0014,0.0074,13,True
000000001000005762,-0.0375,0.0107,-0.003,0.001,15,True
000000001000008492,-0.035,0.0074,-0.0002,0.0006,13,True
000000001000024947,-0.0408,0.0093,-0.0005,0.001,12,True
000000001000080460,-0.029,0.0091,0.0,0.0,1,True
000000001000110065,-0.0506,0.0064,0.0023,0.001,18,True
000000001000022386,-0.0326,0.004,-0.0017,0.0005,17,True
000000001000129382,-0.0574,0.0077,0.0042,0.0037,16,True
000000001000117186,-0.0311,0.0042,0.0009,0.0004,21,True
000000001000058327,-0.042,0.0096,-0.0006,0.0008,14,True
000000001000027357,-0.1374,0.0314,-0.0056,0.0024,11,True
000000001000171117,-0.0324,0.0083,-0.0037,0.0014,10,True
000000001000178569,-0.0346,0.0057,-0.0014,0.0005,18,True
000000001000176708,-0.029,0.0062,0.0002,0.0006,17,True
000000001000022560,-0.0696,0.0153,-0.0179,0.0043,11,True
000000001000166545,-0.0383,0.0106,-0.0001,0.0006,10,True
000000001000179466,-0.0352,0.0107,0.0001,0.0007,13,True
000000001000064498,-0.0418,0.0082,-0.0047,0.0013,14,True
000000001000024682,-0.0704,0.0184,-0.0061,0.0037,6,True
000000001000064339,-0.0356,0.008,-0.0022,0.0012,13,True
000000001000076601,-0.0324,0.0071,-0.0047,0.0009,17,True
000000001000123447,-0.0429,0.0073,-0.0025,0.001,17,True
000000001000050931,-0.0285,0.0053,-0.0016,0.0004,19,True
000000001000037842,-0.0792,0.0126,-0.0076,0.0023,11,True
000000001000117662,-0.0717,0.0164,-0.0018,0.0135,10,True
000000001000123286,-0.0335,0.0065,-0.0038,0.0008,17,True
