,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000123755,-0.0276,0.0066,-0.0019,0.0009,18,True
000000001000182665,-0.0174,0.0029,-0.0006,0.0002,15,True
000000001000008833,-0.0196,0.0053,-0.0025,0.0021,9,True
000000001000126213,-0.0232,0.0046,-0.0007,0.0004,14,True
000000001000184191,-0.02,0.0059,-0.003,0.0009,20,True
000000001000005892,-0.0176,0.0031,-0.0004,0.0002,14,True
000000001000012658,-0.022,0.0048,0.0004,0.0002,12,True
000000001000079876,-0.0254,0.0073,-0.0011,0.0008,9,True
000000001000123523,-0.0242,0.0066,-0.0007,0.0009,14,True
000000001000126497,-0.0183,0.0056,-0.0001,0.0002,12,True
000000001000007447,-0.0281,0.0048,-0.0024,0.0005,21,True
000000001000123754,-0.0183,0.0039,-0.0007,0.0005,12,True
000000001000027389,-0.0172,0.003,-0.0005,0.0002,16,True
000000001000050874,-0.0263,0.0044,-0.0004,0.0003,19,True
000000001000129713,-0.0267,0.0028,-0.0037,0.0007,16,True
000000001000176744,-0.0257,0.0057,-0.0001,0.0004,15,True
000000001000008019,-0.0242,0.0047,-0.0,0.0004,16,True
000000001000103648,-0.0182,0.0036,-0.0026,0.0005,14,True
000000001000016143,-0.027,0.0041,-0.0004,0.0004,17,True
000000001000119270,-0.017,0.0034,0.0004,0.0002,18,True
000000001000021908,-0.02,0.0044,-0.0032,0.0007,17,True
000000001000127863,-0.0268,0.0088,0.0009,0.0023,6,True
000000001000184192,-0.0209,0.0065,-0.0023,0.0008,17,True
000000001000008058,-0.0233,0.0032,-0.0006,0.0005,13,True
000000001000119823,-0.0243,0.0031,-0.0026,0.0006,19,True
000000001000123857,-0.0263,0.0061,-0.0006,0.0007,18,True
000000001000008071,-0.0189,0.0036,-0.001,0.001,15,True
000000001000064698,-0.0201,0.0044,-0.001,0.0003,18,True
000000001000039135,-0.019,0.0042,-0.0005,0.0004,19,True
000000001000112670,-0.0277,0.0039,-0.0003,0.0004,20,True
000000001000036234,-0.017,0.0032,-0.0004,0.0004,15,True
000000001000135780,-0.021,0.0058,-0.0016,0.0003,15,True
000000001000007577,-0.023,0.0062,-0.0024,0.0009,12,True
000000001000047507,-0.0174,0.0034,-0.001,0.0004,16,True
000000001000064343,-0.0178,0.0036,-0.0018,0.0006,19,True
000000001000117190,-0.0217,0.0037,-0.0,0.0002,20,True
000000001000123330,-0.025,0.0076,-0.001,0.0008,16,True
000000001000149740,-0.0209,0.005,0.0002,0.0003,19,True
000000001000006086,-0.0233,0.0038,-0.0012,0.0006,18,True
000000001000008721,-0.0218,0.0072,-0.0017,0.0007,16,True
000000001000045679,-0.0282,0.0074,-0.0017,0.0005,19,True
000000001000165563,-0.0179,0.0045,-0.0024,0.0005,15,True
000000001000064702,-0.021,0.004,-0.0003,0.0004,13,True
000000001000076607,-0.017,0.0037,-0.0024,0.0004,17,True
000000001000124027,-0.0253,0.0052,-0.0013,0.0006,14,True
000000001000126026,-0.0186,0.0039,-0.0009,0.0002,15,True
000000001000092425,-0.0216,0.0043,0.0012,0.0021,11,True
000000001000096813,-0.0175,0.0049,-0.002,0.0006,18,True
000000001000064696,-0.0264,0.0033,-0.0024,0.0006,9,True
000000001000012698,-0.0248,0.0049,-0.001,0.0013,18,True
000000001000137175,-0.0271,0.0086,0.0059,0.0091,12,True
000000001000008823,-0.0259,0.0028,-0.0,0.0002,20,True
000000001000036233,-0.017,0.0041,-0.0022,0.0008,14,True
000000001000054049,-0.0223,0.0041,-0.0007,0.0006,17,True
000000001000178553,-0.0183,0.0033,-0.0004,0.0003,6,True
000000001000176731,-0.0195,0.0046,-0.0006,0.0006,15,True
000000001000063419,-0.0282,0.0083,-0.0045,0.0015,7,True
000000001000012712,-0.0198,0.005,-0.0005,0.0012,17,True
000000001000039261,-0.0217,0.0051,-0.0022,0.0013,5,True
000000001000054046,-0.0198,0.0037,-0.0021,0.0005,15,True
000000001000052649,-0.0255,0.0078,-0.0016,0.0012,15,True
000000001000114891,-0.019,0.004,-0.0007,0.0004,18,True
000000001000117837,-0.0239,0.0035,-0.0007,0.0003,18,True
000000001000008037,-0.0183,0.0038,-0.0023,0.0005,19,True
000000001000012641,-0.0184,0.0025,-0.0002,0.0002,15,True
000000001000176730,-0.023,0.0049,-0.0029,0.0007,16,True
000000001000123550,-0.0276,0.0038,-0.0022,0.0009,17,True
000000001000173793,-0.0179,0.0024,-0.0017,0.0005,14,True
000000001000062041,-0.0186,0.0049,-0.0011,0.0003,8,True
000000001000123195,-0.0196,0.0044,0.0003,0.0005,16,True
000000001000150466,-0.0246,0.0062,0.0011,0.0005,14,True
000000001000047786,-0.0217,0.0038,-0.0041,0.0007,17,True
000000001000008777,-0.0211,0.003,-0.0,0.0002,11,True
000000001000008062,-0.0191,0.0032,-0.0004,0.0003,15,True
000000001000012770,-0.0226,0.0039,0.0004,0.0002,20,True
000000001000047502,-0.023,0.0042,-0.004,0.0008,11,True
000000001000000145,-0.0258,0.0062,0.0007,0.0004,15,True
000000001000050949,-0.0225,0.0044,-0.0003,0.0005,17,True
000000001000104248,-0.0226,0.0042,-0.0014,0.0022,6,True
000000001000118226,-0.0218,0.0071,-0.0,0.0001,6,True
000000001000007071,-0.0194,0.0027,-0.0004,0.0002,19,True
000000001000104117,-0.0223,0.0059,-0.0002,0.0003,21,True
000000001000092323,-0.0218,0.0046,-0.0006,0.0007,16,True
000000001000116756,-0.0262,0.0048,-0.0002,0.0005,18,True
000000001000183883,-0.0197,0.0038,0.0005,0.0002,15,True
000000001000088049,-0.0177,0.0036,0.0001,0.0002,12,True
000000001000113650,-0.0281,0.0051,-0.0023,0.0029,12,True
000000001000027396,-0.0171,0.0028,-0.0013,0.0005,19,True
000000001000096836,-0.0215,0.0043,-0.0044,0.0008,19,True
000000001000097478,-0.0194,0.0044,-0.0006,0.0005,14,True
000000001000151692,-0.0261,0.005,-0.0023,0.0009,18,True
000000001000128962,-0.0276,0.0031,-0.0001,0.0002,15,True
000000001000176211,-0.0184,0.0049,0.0003,0.0002,13,True
000000001000007072,-0.0171,0.0027,-0.0005,0.0002,18,True
000000001000015966,-0.0216,0.0064,-0.0009,0.0008,19,True
000000001000153508,-0.0213,0.0035,0.0009,0.0006,17,True
000000001000124128,-0.0213,0.0039,-0.0006,0.0002,17,True
000000001000152765,-0.0183,0.0041,-0.0004,0.0004,15,True
000000001000005891,-0.022,0.0034,-0.0024,0.0005,17,True
000000001000057300,-0.0205,0.0049,-0.0004,0.0002,14,True
000000001000128010,-0.0266,0.0047,0.002,0.0025,15,True
000000001000123760,-0.0269,0.0063,-0.0001,0.0007,14,True
000000001000104005,-0.0188,0.0046,-0.0004,0.0003,11,True
000000001000178060,-0.0172,0.0044,0.0002,0.0002,13,True
000000001000021987,-0.022,0.0051,-0.0005,0.0004,13,True
000000001000092324,-0.0244,0.0047,-0.0005,0.0006,12,True
000000001000125111,-0.0269,0.006,-0.0026,0.0007,15,True
000000001000021913,-0.0199,0.0033,-0.0015,0.0004,15,True
000000001000064536,-0.0224,0.0056,-0.0017,0.0008,10,True
000000001000157369,-0.0278,0.0067,0.0009,0.0004,19,True
000000001000125117,-0.0249,0.0066,-0.0014,0.0007,18,True
000000001000176748,-0.0263,0.0081,0.0001,0.0004,14,True
000000001000008526,-0.0226,0.0048,-0.0008,0.0003,16,True
000000001000050866,-0.0225,0.0042,-0.0004,0.0005,17,True
000000001000176894,-0.0227,0.0073,-0.0006,0.0009,12,True
000000001000118201,-0.0237,0.0034,-0.0004,0.0003,19,True
000000001000008079,-0.0251,0.003,-0.0002,0.0004,14,True
000000001000050952,-0.0232,0.0036,-0.0006,0.0004,21,True
000000001000104020,-0.0219,0.0039,-0.0019,0.0004,19,True
000000001000109884,-0.0248,0.0053,0.0001,0.0002,15,True
000000001000012791,-0.0179,0.0041,0.0002,0.0001,16,True
000000001000122530,-0.0255,0.0042,-0.0032,0.001,18,True
000000001000123815,-0.0265,0.0064,0.0003,0.0005,20,True
000000001000124194,-0.0181,0.0044,0.0001,0.0002,8,True
000000001000008078,-0.0229,0.0028,-0.0007,0.0004,15,True
000000001000008809,-0.0176,0.0034,-0.0008,0.0004,19,True
000000001000064391,-0.0237,0.0057,-0.0066,0.0004,18,True
000000001000125845,-0.02,0.004,0.0002,0.0002,19,True
000000001000012814,-0.0243,0.0058,0.0004,0.0002,14,True
000000001000027365,-0.0201,0.0049,-0.0011,0.0006,11,True
000000001000050789,-0.0203,0.0063,-0.0016,0.0012,11,True
000000001000050892,-0.0181,0.0026,-0.0003,0.0002,21,True
000000001000110334,-0.0202,0.0056,-0.0004,0.0011,13,True
000000001000123586,-0.0186,0.003,-0.001,0.0003,12,True
