,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,Sales_PE,Sales_PE_err,del_week,del_week_err,intercept,intercept_err,pc2,item_skey
200,000000001000064659,0.002595179066495982,429.99,2021-02-19,125.38479262672811,-2.177,0.367,-4.3306,0.6514,16.027,2.3397,105.700,41651284231986
201,000000001000114883,0.010455339221670405,249.99,2021-02-25,37.98992276753769,-0.5926,0.1898,-0.9343,0.1335,4.6808,2.8068,122.120,130475545100271
202,000000001000180103,0.0028581428571428573,379.99,2021-02-17,29.166666666666668,-0.7323,0.1603,-0.8236,0.1991,9.2583,2.1426,235.220,251865061283874
203,000000001000183811,0.01321156845476381,119.99,2021-01-21,227.0909090909091,5.5394,1.0385,8.4205,1.0678,68.7328,10.7951,61.500,180727366268840
204,000000001000008541,0.024032471582815972,63.99,2021-02-25,71.92857142857143,-1.7275,0.4141,0.4413,0.2488,15.4153,1.7783,25.420,82327153923829
205,000000001000016100,0.011884784170223582,149.99,2021-02-25,127.55595238095238,-2.6851,0.5561,-1.7348,0.5436,49.2011,5.5504,54.329,124642321577516
206,000000001000053373,0.011914450707078717,274.99,2021-02-25,73.79121098200046,-2.4125,0.3701,-2.6459,0.3693,20.4939,2.7578,160.810,240663993920799
207,000000001000116952,0.0017998714308261519,319.99,2021-02-19,52.82512077294687,0.8199,0.1771,0.7132,0.1798,3.9868,3.0203,163.970,176704948499571
208,000000001000127784,0.003577615551220204,349.99,2021-02-02,73.90817484130632,0.4433,0.1046,0.7888,0.1308,8.6333,1.1901,203.800,270208027282147
209,000000001000176732,0.009074233959818535,164.99,2021-02-22,71.76744186046511,-1.5654,0.3175,0.6719,0.2002,11.5499,1.8304,57.759,276748653582874
210,000000001000178071,0.003120570561393414,699.99,2020-10-28,67.7707743384435,1.2303,0.1257,-0.0221,0.2057,13.4096,3.392,249.759,128272935265171
211,000000001000200240,0.004149824426966305,549.99,2021-01-24,30.10991548134405,1.1223,0.3661,1.2238,0.2648,10.2059,2.3716,310.889,55554648521375
212,000000001000022409,0.006262180679785331,83.99,2021-02-25,91.26530612244898,0.8566,0.1718,1.1039,0.4626,8.914,1.9639,40.180,214537856349442
213,000000001000024281,0.0590391564932477,69.99,2021-02-25,110.08322580645162,-3.0641,0.6903,-2.3236,0.7083,14.4563,5.0735,38.799,193965148837658
214,000000001000123474,0.0027449127875408172,199.99,2021-02-25,137.63972593063502,-2.2389,0.2068,-5.4019,0.5814,22.8319,2.6141,83.549,79244817724690
215,000000001000128457,0.0070286378725457795,369.99,2021-02-19,41.4095695970696,-0.497,0.1266,1.1185,0.2903,8.7126,1.5441,144.789,178267045756912
216,000000001000130403,0.006310824726212205,349.99,2021-02-19,117.69570707070707,-0.7834,0.1243,-0.387,0.144,10.8458,1.9688,149.160,184008341107497
217,000000001000008184,0.006185428492545555,179.99,2021-02-25,139.30769230769232,-1.4619,0.3239,2.2606,0.6805,20.2724,3.5435,64.980,268820259706070
218,000000001000048015,0.004480651812117659,229.99,2021-01-09,123.6564381469576,0.9905,0.1265,0.5784,0.1027,7.6054,1.6444,118.300,129532752091524
219,000000001000076722,0.001494668654070347,469.99,2021-02-18,353.0357153236789,0.3721,0.1013,0.545,0.0897,3.5476,2.7406,273.149,250605382700787
220,000000001000008050,0.008622893473492717,299.99,2021-02-25,63.35505048261578,-1.3111,0.1704,-0.7931,0.1301,12.6869,1.7554,141.590,249992649050054
221,000000001000024683,0.022942645282490085,239.99,2020-11-22,33.36201298701299,2.9117,0.4203,1.2466,0.5604,10.7166,2.8528,134.139,11773514884839
222,000000001000052647,0.013852563812209728,269.99,2021-02-25,74.67989417989418,0.5733,0.0942,0.7183,0.1225,5.5649,1.366,136.930,148024290503356
223,000000001000084484,0.001662512386328987,1699.99,2021-02-25,29.317582653741823,-1.3376,0.268,-0.4915,0.1466,9.8203,2.1124,794.950,11813967891952
224,000000001000085427,0.003070310841341592,749.99,2021-02-25,86.41964285714286,-0.8636,0.1865,-1.3724,0.2369,11.9709,5.1264,444.620,128896787529978
225,000000001000117123,0.020581982767221015,72.99,2021-02-17,47.64583333333333,-1.2616,0.3331,-1.8337,0.3341,27.0983,2.2692,29.809,135461258129202
226,000000001000199607,1e-06,699.99,2021-02-18,27.793650793650794,-0.2173,0.0723,-0.0952,0.0652,-2.5144,2.3046,416.550,24906374987534
227,000000001000202379,0.10650240943601985,36.99,2021-02-25,31.944444444444443,-3.8292,1.0796,-4.2584,0.7981,11.1279,11.3976,22.579,143961987527232
228,000000001000206736,0.0061723874001580106,189.99,2021-02-25,150.0694418303114,-1.4959,0.2593,-0.0876,0.155,13.6846,1.8687,107.239,53981581275563
229,000000001000008010,0.00790299081163859,329.99,2021-02-25,333.16326530612247,2.1038,0.5065,-2.4201,0.3589,36.3548,5.8688,109.360,250720344272450
230,000000001000027348,0.004074382834793118,249.99,2021-02-25,45.727207977207975,-0.8357,0.149,-0.0385,0.2148,17.402,1.8503,107.130,207352272480883
231,000000001000037682,0.0014455650375238941,699.99,2020-12-04,153.70402342755284,0.5261,0.1127,0.0301,0.1992,8.9215,2.1072,337.639,122971105370779
232,000000001000104012,0.018555119190481004,149.99,2021-02-02,31.463280604790043,-0.5106,0.1025,0.1878,0.1036,4.4891,0.8421,52.810,187174633209020
233,000000001000113629,0.009005020735538797,159.99,2021-01-04,55.13305322128852,0.5901,0.152,0.0099,0.3505,5.5706,2.2827,77.849,208133973481650
234,000000001000119781,0.0025816451612903227,214.99,2021-02-13,96.875,-1.1142,0.1276,-0.7051,0.1215,20.3765,2.0958,89.250,193468879883265
235,000000001000138429,0.020461133206196875,159.99,2021-02-15,110.3514619883041,2.5549,0.3626,1.7316,0.3312,12.0949,1.4909,59.670,186866701099719
236,000000001000150233,0.0025979620134710096,1049.99,2021-02-25,40.78915119967752,-1.0714,0.2462,-0.5131,0.1734,7.9441,1.6913,549.370,172052852094988
237,000000001000176724,0.018380850238257317,139.99,2021-01-27,209.85714285714286,-1.343,0.3391,-0.8389,0.5701,9.7873,3.1379,51.390,214815396948475
238,000000001000208445,0.019166720189466174,159.99,2021-02-19,62.819729902830694,-3.5609,0.5622,-3.2393,0.5695,21.1465,3.2808,102.989,111468949671615
239,000000001000211528,0.01479158538128969,94.99,2021-02-25,73.98367346938775,0.9733,0.3009,-0.7879,0.2851,16.005,2.9894,52.670,48817714062240
240,000000001000007105,0.003953569169960474,1049.99,2021-02-19,31.625,2.1213,0.3227,-1.9992,0.3002,22.4884,2.9968,258.610,67170936393932
241,000000001000092019,0.004010578437378181,289.99,2020-12-28,201.76404494382024,-1.5246,0.1993,-1.4028,0.2131,10.6927,1.612,158.240,44199333801954
242,000000001000124029,0.015131674002751032,139.99,2021-01-12,103.85714285714286,-21.3854,5.5755,-14.831,5.1135,68.3543,13.798,60.700,126930231096770
243,000000001000151924,0.01694473401534527,149.99,2021-02-25,81.73214285714286,4.367,1.1456,4.632,1.166,22.7402,5.0924,48.030,31278168652882
244,000000001000174658,0.004547264931360314,469.99,2021-02-19,188.73214285714286,0.9554,0.1459,0.039,0.1825,6.6304,1.9897,163.430,94499318001063
245,000000001000050877,0.007021148954820134,519.99,2021-02-25,92.67162698412699,1.558,0.2125,-1.1511,0.5144,33.4875,3.9189,260.360,30665665923141
246,000000001000113284,0.01291348206599713,979.99,2021-02-25,77.44444444444444,-0.9279,0.1806,-0.5123,0.2016,14.1585,2.9483,571.870,233844684556926
247,000000001000181261,0.004374926121033694,399.99,2021-02-23,57.37616455341865,-0.945,0.2076,-0.2609,0.2196,16.4499,2.5492,143.569,38677516877954
248,000000001000184087,0.008158040856236564,179.99,2021-02-16,171.7938842203548,9.4593,1.1916,-3.4834,1.1314,63.7439,15.2152,122.819,131198316747758
249,000000001000211539,0.002567866911787056,299.99,2021-02-18,80.47186147186147,-0.6417,0.1908,-0.6439,0.3615,8.7371,2.031,178.460,14360503787069
250,000000001000015641,0.003495809493653836,149.99,2020-12-14,60.36050420168067,0.7647,0.2397,2.391,0.2997,9.8158,3.6805,78.629,95151998364850
